2026-01-07 19:54:05,900 - LiveService - INFO - Process started for monitor 0
2026-01-07 19:54:05,942 - LiveService - INFO - Capturing Monitor 1: {'left': 0, 'top': 0, 'width': 1920, 'height': 1080}
2026-01-07 19:54:06,591 - LiveService - INFO - Translation Service Initialized
2026-01-07 19:54:07,705 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_pemgdodh_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_pemgdodh', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:10,952 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_z1_7fb1c_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_z1_7fb1c', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:11,254 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_xk1ujq72_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_xk1ujq72', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:11,551 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_ldj3z0ll_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_ldj3z0ll', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:11,837 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_71p2bro9_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_71p2bro9', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:12,157 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_goiaha1a_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_goiaha1a', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:12,517 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_nrv0_pex_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_nrv0_pex', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:12,828 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_h74l27n2_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_h74l27n2', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:13,109 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_dvggt7uq_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_dvggt7uq', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:13,405 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_8m5cd9_1_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_8m5cd9_1', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:13,652 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_no6a_mmn_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_no6a_mmn', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:14,003 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_c27v1ikd_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_c27v1ikd', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:17,477 - LiveService - INFO - Active Input: User Scroll. Overlay cleared.
2026-01-07 19:54:21,032 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_5d3i56zt_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_5d3i56zt', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:21,262 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_8jvxw3si_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_8jvxw3si', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:21,522 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_4c84muu8_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_4c84muu8', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:21,774 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_8n6_y1ws_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_8n6_y1ws', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:22,049 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_ggpfc3fs_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_ggpfc3fs', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:22,400 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_djpj4chp_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_djpj4chp', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:22,755 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_uyu4thzk_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_uyu4thzk', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:23,061 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_f6oy1ncm_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_f6oy1ncm', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:23,417 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_dlwooa9e_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_dlwooa9e', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:23,633 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess__xmb3761_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess__xmb3761', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:23,839 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_3tsls0_g_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_3tsls0_g', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:24,024 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_kpe24jln_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_kpe24jln', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:24,279 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_r5bw41ng_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_r5bw41ng', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:24,504 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_hdzsdbwy_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_hdzsdbwy', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:24,731 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_hyx35s6v_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_hyx35s6v', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:24,934 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_3f91pdsn_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_3f91pdsn', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:25,197 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_xqs1zgsb_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_xqs1zgsb', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:25,566 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_wmh7w09e_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_wmh7w09e', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:25,916 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_xrywooar_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_xrywooar', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:26,231 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_bj1ie7j6_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_bj1ie7j6', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:26,595 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_qj1szg_m_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_qj1szg_m', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:26,787 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_z07v8_6e_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_z07v8_6e', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:27,001 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_ntibhe1a_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_ntibhe1a', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:27,212 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_aela9fs__input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_aela9fs_', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:31,497 - LiveService - INFO - Stop event detected. Shutting down...
2026-01-07 19:54:31,504 - UI - DEBUG - stop_screen_capture called
